,Exams,Percentage,Seed1,Seed2,Solution_code1,Time_code1,Solution_code2,Time_code2
536,15,0.75,1353,31293,7.0,0.000568,,
537,15,0.75,1337,31313,7.0,0.00776,,
538,15,0.75,1414,31272,8.0,0.005481,,
539,15,0.75,1369,31294,8.0,0.059537,,
540,15,0.75,1386,31247,8.0,0.064825,,
541,15,0.75,1338,31287,6.0,0.000911,,
542,15,0.75,1337,31327,7.0,0.000692,,
543,15,0.75,1353,31254,7.0,0.001632,,
544,15,0.75,1380,31272,7.0,0.001687,,
545,15,0.75,1337,31243,7.0,0.006542,,
546,15,0.75,1329,31331,8.0,0.02991,,
547,15,0.75,1356,31242,6.0,0.001366,,
